stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"2147321952","2021-12-25 02:41:32","Gorbachev’s resignation 30 years ago marked the end of USSR","https://www.seattletimes.com/nation-world/world/gorbachevs-resignation-30-years-ago-marked-the-end-of-ussr/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all","en","True","politics and government, books and literature, biographical information","24940","Seattle Times","http://seattletimes.com"
"2147328248","2021-12-25 02:43:31","Gorbachev's resignation 30 years ago marked the end of USSR","https://abcnews.go.com/International/wireStory/gorbachevs-resignation-30-years-ago-marked-end-ussr-81937187","en","False","politics and government, economic conditions and trends","39000","ABC News","http://abcnews.go.com/"
"2147352888","2021-12-25 04:00:16","Taco Bell Christmas hours: Is Taco Bell open on Christmas Day?","https://fansided.com/2021/12/25/taco-bell-christmas-hours-open-close/","en","False","restaurants, holidays and special occasions, food","68916","Fansided","http://cdn.fansided.com/#spider"
"2147357096","2021-12-25 04:00:16","In their shared sea, Ukraine and Russia already risk direct conflict every day","https://www.washingtonpost.com/world/2021/12/25/ukraine-russia-azov-sea/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world","en","False","","2","Washington Post","http://washingtonpost.com"
"2147367406","2021-12-25 04:00:07","More than 10,000 Russian troops returning to bases after drills near Ukraine -Interfax","https://www.oann.com/more-than-10000-russian-troops-returning-to-bases-after-drills-near-ukraine-interfax/?utm_source=rss&utm_medium=rss&utm_campaign=more-than-10000-russian-troops-returning-to-bases-after-drills-near-ukraine-interfax","en","False","politics and government, armament, defense and military forces, united states armament and defense, international relations","127733","Oan","http://oann.com/"
"2147446543","2021-12-25 07:00:18","Global Forecast-Fahrenheit","https://www.sfgate.com/weather/article/Global-Forecast-Fahrenheit-16728344.php","en","False","weather","14","SF Chronicle","http://www.sfgate.com/"
"2147446544","2021-12-25 07:00:18","Global Forecast-Celsius","https://www.sfgate.com/weather/article/Global-Forecast-Celsius-16728345.php","en","False","no index terms from nytimes","14","SF Chronicle","http://www.sfgate.com/"
"2147455763","2021-12-25 03:59:00","More than 10000 Russian troops returning to bases after drills near Ukraine -Interfax","https://biztoc.com/p/m88w7j2n?ref=rss&rd=1","en","False","armament, defense and military forces, united states armament and defense, international relations","26357","Upworthy","http://www.upworthy.com"
"2147458510","2021-12-25 06:40:52","On Christmas, pope prays for pandemic’s end, peace dialogues","https://www.seattletimes.com/nation-world/world/on-christmas-pope-prays-for-pandemics-end-peace-dialogues/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all","en","True","politics and government, medicine and health, international relations, diseases and conditions, holidays and special occasions, biological and chemical warfare","24940","Seattle Times","http://seattletimes.com"
"2147466582","2021-12-25 06:54:42","On Christmas, pope prays for pandemic's end, peace dialogues","https://abcnews.go.com/International/wireStory/christmas-pope-prays-pandemics-end-peace-dialogues-81937626","en","False","politics and government, medicine and health, international relations, diseases and conditions, holidays and special occasions","39000","ABC News","http://abcnews.go.com/"
"2147466576","2021-12-25 07:47:07","Ukraine leader discusses Russia tensions with US lawmakers","https://abcnews.go.com/International/wireStory/ukraine-leader-discusses-russia-tensions-us-lawmakers-81937958","en","True","politics and government, united states politics and government, united states international relations, international relations, war and revolution, civil war and guerrilla warfare","39000","ABC News","http://abcnews.go.com/"
"2147474229","2021-12-25 07:10:06","Shun polarisation, try dialogue to heal divided world, pope says at Christmas","https://www.oann.com/shun-polarisation-try-dialogue-to-heal-divided-world-pope-says-at-christmas/?utm_source=rss&utm_medium=rss&utm_campaign=shun-polarisation-try-dialogue-to-heal-divided-world-pope-says-at-christmas","en","False","medicine and health","127733","Oan","http://oann.com/"
"2147475459","2021-12-25 07:45:46","Ukraine leader discusses Russia tensions with US lawmakers","https://www.seattletimes.com/nation-world/nation/ukraine-leader-discusses-russia-tensions-with-us-lawmakers/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all","en","True","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations, war and revolution, civil war and guerrilla warfare","24940","Seattle Times","http://seattletimes.com"
"2147479605","2021-12-25 07:45:46","Ukraine leader discusses Russia tensions with US lawmakers","https://www.sfgate.com/news/article/Ukraine-leader-discusses-Russia-tensions-with-US-16728364.php","en","True","politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations, war and revolution, civil war and guerrilla warfare","14","SF Chronicle","http://www.sfgate.com/"
